top_level,subject_id,phase,tasks_present,missing_tasks,n_missing
12_Months,M23274,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23288,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23288,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23387,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23387,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23455,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23455,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23697,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23827,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M23827,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24232,E2,"['arm_restraint', 'freeplay', 'maap', 'still_face']",['nail_clipping'],1
12_Months,M24236,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24309,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24309,E2,"['freeplay', 'maap', 'nail_clipping']","['arm_restraint', 'still_face']",2
12_Months,M24341,E1,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24341,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24432,E1,"['arm_restraint', 'depth', 'freeplay', 'nail_clipping', 'still_face']",['maap'],1
12_Months,M24432,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24542,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24542,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24586,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24873,E1,"['arm_restraint', 'depth', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
12_Months,M24873,E2,"['arm_restraint', 'freeplay', 'maap', 'nail_clipping', 'still_face']",[],0
